,media,competition,S fitness,gen,sl clone,competition2
0,Acetate,S + Sl,0.23401133699999999,6.5k,1.0,$S_B$ vs. $S$
1,Acetate,S + Sl,0.46868247799999996,6.5k,1.0,$S_B$ vs. $S$
2,Acetate,S + Sl,0.221652409,6.5k,1.0,$S_B$ vs. $S$
3,Acetate,S + Sl,0.38828883700000005,6.5k,1.0,$S_B$ vs. $S$
4,Acetate,S + Sl,0.317408504,6.5k,1.0,$S_B$ vs. $S$
5,Acetate,S + Sl,0.406475954,6.5k,1.0,$S_B$ vs. $S$
6,CasAA,S + Sl,-0.231530205,6.5k,1.0,$S_B$ vs. $S$
7,CasAA,S + Sl,-0.197772597,6.5k,1.0,$S_B$ vs. $S$
8,CasAA,S + Sl,-0.19269652199999998,6.5k,1.0,$S_B$ vs. $S$
9,CasAA,S + Sl,-0.269152908,6.5k,1.0,$S_B$ vs. $S$
10,Pyruvate,S + Sl,-0.254169208,6.5k,1.0,$S_B$ vs. $S$
11,Pyruvate,S + Sl,-0.27265085899999997,6.5k,1.0,$S_B$ vs. $S$
12,Pyruvate,S + Sl,-0.318865222,6.5k,1.0,$S_B$ vs. $S$
13,Pyruvate,S + Sl,-0.316505385,6.5k,1.0,$S_B$ vs. $S$
14,Glycerol,S + Sl,0.444849791,6.5k,1.0,$S_B$ vs. $S$
15,Glycerol,S + Sl,0.45467609600000003,6.5k,1.0,$S_B$ vs. $S$
16,Glycerol,S + Sl,0.415424544,6.5k,1.0,$S_B$ vs. $S$
17,Glycerol,S + Sl,0.273625375,6.5k,1.0,$S_B$ vs. $S$
18,Acetate,S + L,0.801712427,6.5k,,$L$ vs. $S$
19,Acetate,S + L,0.7439044709999999,6.5k,,$L$ vs. $S$
20,Acetate,S + L,0.820621279,6.5k,,$L$ vs. $S$
21,Acetate,S + L,0.854193977,6.5k,,$L$ vs. $S$
22,Acetate,S + L,1.167815872,6.5k,,$L$ vs. $S$
23,Acetate,S + L,1.0333949759999999,6.5k,,$L$ vs. $S$
24,CasAA,S + L,0.11842377400000001,6.5k,,$L$ vs. $S$
25,CasAA,S + L,0.15658435699999998,6.5k,,$L$ vs. $S$
26,CasAA,S + L,0.21316378100000002,6.5k,,$L$ vs. $S$
27,CasAA,S + L,0.254270893,6.5k,,$L$ vs. $S$
28,Pyruvate,S + L,1.72048988,6.5k,,$L$ vs. $S$
29,Pyruvate,S + L,1.772820259,6.5k,,$L$ vs. $S$
30,Pyruvate,S + L,1.809937701,6.5k,,$L$ vs. $S$
31,Pyruvate,S + L,1.9744868309999999,6.5k,,$L$ vs. $S$
32,Glycerol,S + L,0.542350573,6.5k,,$L$ vs. $S$
33,Glycerol,S + L,0.518079729,6.5k,,$L$ vs. $S$
34,Glycerol,S + L,0.601949025,6.5k,,$L$ vs. $S$
35,Glycerol,S + L,0.57233561,6.5k,,$L$ vs. $S$
0,Glycerol,S + Sl,0.945139108,17k,1.0,$S_B$ vs. $S$
1,Glycerol,S + Sl,0.419845532,17k,1.0,$S_B$ vs. $S$
2,Glycerol,S + Sl,0.42322001,17k,1.0,$S_B$ vs. $S$
3,Glycerol,S + Sl,0.332926551,17k,1.0,$S_B$ vs. $S$
4,Acetate,S + L,0.13743390800000002,17k,,$L$ vs. $S$
5,Acetate,S + L,0.06425048,17k,,$L$ vs. $S$
6,Acetate,S + L,0.022847261,17k,,$L$ vs. $S$
7,Acetate,S + L,0.23324270600000002,17k,,$L$ vs. $S$
8,Acetate,S + L,0.237268284,17k,,$L$ vs. $S$
9,Acetate,S + L,0.277381942,17k,,$L$ vs. $S$
10,CasAA,S + L,1.217518213,17k,,$L$ vs. $S$
11,CasAA,S + L,0.993416506,17k,,$L$ vs. $S$
12,CasAA,S + L,1.054357105,17k,,$L$ vs. $S$
13,CasAA,S + L,1.1087480809999999,17k,,$L$ vs. $S$
14,Pyruvate,S + L,0.8071075059999999,17k,,$L$ vs. $S$
15,Pyruvate,S + L,0.761509207,17k,,$L$ vs. $S$
16,Pyruvate,S + L,0.755001577,17k,,$L$ vs. $S$
17,Pyruvate,S + L,0.818789379,17k,,$L$ vs. $S$
18,Glycerol,S + L,0.024277619,17k,,$L$ vs. $S$
19,Glycerol,S + L,0.01374731,17k,,$L$ vs. $S$
20,Glycerol,S + L,0.004640852,17k,,$L$ vs. $S$
21,Glycerol,S + L,-0.001518555,17k,,$L$ vs. $S$
0,Acetate,S + Sl,-0.174358548,17k,1.0,$S_B$ vs. $S$
1,Acetate,S + Sl,-0.42660496,17k,1.0,$S_B$ vs. $S$
2,Acetate,S + Sl,-1.0078719170000001,17k,1.0,$S_B$ vs. $S$
3,Acetate,S + Sl,-0.802229478,17k,1.0,$S_B$ vs. $S$
4,Acetate,S + Sl,-1.00794786,17k,1.0,$S_B$ vs. $S$
5,Acetate,S + Sl,-1.0078719170000001,17k,1.0,$S_B$ vs. $S$
6,CasAA,S + Sl,1.4635598890000001,17k,1.0,$S_B$ vs. $S$
7,CasAA,S + Sl,1.92161938,17k,1.0,$S_B$ vs. $S$
8,CasAA,S + Sl,1.8563705259999999,17k,1.0,$S_B$ vs. $S$
9,CasAA,S + Sl,2.242786043,17k,1.0,$S_B$ vs. $S$
