group,timepoint,Time,well,S freq,lambda,total count,YFP,BFP,Dilution,corrected total count,gen,competition,S minmaj,scaled counts,S counts,LSl counts,BFP freq,timegroup,BFP counts,YFP counts
1,0,0.0,A1,0.028223157000000002,2.0139656880000003,21093,7638.835937999999,8828.96875,0.4,49023.12453,6.5k,L,min,122557.8113,3458.968351,119098.84300000001,,,,
1,0,0.0,A2,0.028223157000000002,2.0139656880000003,21093,7638.835937999999,8828.96875,0.4,49023.12453,6.5k,L,min,122557.8113,3458.968351,119098.84300000001,,,,
1,0,0.0,A3,0.028223157000000002,2.0139656880000003,21093,7638.835937999999,8828.96875,0.4,49023.12453,6.5k,L,min,122557.8113,3458.968351,119098.84300000001,,,,
1,0,0.0,A4,0.028223157000000002,2.0139656880000003,21093,7638.835937999999,8828.96875,0.4,49023.12453,6.5k,L,min,122557.8113,3458.968351,119098.84300000001,,,,
1,0,0.0,A5,0.028223157000000002,2.0139656880000003,21093,7638.835937999999,8828.96875,0.4,49023.12453,6.5k,L,min,122557.8113,3458.968351,119098.84300000001,,,,
1,0,0.0,A6,0.028223157000000002,2.0139656880000003,21093,7638.835937999999,8828.96875,0.4,49023.12453,6.5k,L,min,122557.8113,3458.968351,119098.84300000001,,,,
2,0,0.0,A7,0.94777129,1.514433346,24433,7535.210937999999,8429.955078,0.4,47434.5656,6.5k,L,maj,118586.414,112392.7986,6193.615427000001,,,,
2,0,0.0,A8,0.94777129,1.514433346,24433,7535.210937999999,8429.955078,0.4,47434.5656,6.5k,L,maj,118586.414,112392.7986,6193.615427000001,,,,
2,0,0.0,A9,0.94777129,1.514433346,24433,7535.210937999999,8429.955078,0.4,47434.5656,6.5k,L,maj,118586.414,112392.7986,6193.615427000001,,,,
2,0,0.0,A10,0.94777129,1.514433346,24433,7535.210937999999,8429.955078,0.4,47434.5656,6.5k,L,maj,118586.414,112392.7986,6193.615427000001,,,,
2,0,0.0,A11,0.94777129,1.514433346,24433,7535.210937999999,8429.955078,0.4,47434.5656,6.5k,L,maj,118586.414,112392.7986,6193.615427000001,,,,
2,0,0.0,A12,0.94777129,1.514433346,24433,7535.210937999999,8429.955078,0.4,47434.5656,6.5k,L,maj,118586.414,112392.7986,6193.615427000001,,,,
3,0,0.0,C1,0.032276965,1.576027504,24917,7630.617676000001,8359.083984,0.4,49507.851539999996,6.5k,Sl,min,123769.6288,3994.907978,119774.7209,,,,
3,0,0.0,C2,0.032276965,1.576027504,24917,7630.617676000001,8359.083984,0.4,49507.851539999996,6.5k,Sl,min,123769.6288,3994.907978,119774.7209,,,,
3,0,0.0,C3,0.032276965,1.576027504,24917,7630.617676000001,8359.083984,0.4,49507.851539999996,6.5k,Sl,min,123769.6288,3994.907978,119774.7209,,,,
3,0,0.0,C4,0.032276965,1.576027504,24917,7630.617676000001,8359.083984,0.4,49507.851539999996,6.5k,Sl,min,123769.6288,3994.907978,119774.7209,,,,
