"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"ebr02040","Flagellar assembly - Escherichia coli B REL606",23,0.894796467527911,2.02931363155496,1.45138723592009e-06,1.45138723592009e-06,0.000158888707932305,247,"tags=65%, list=7%, signal=61%","ECB_01069/ECB_01072/ECB_01071/ECB_01074/ECB_01075/ECB_01073/ECB_01068/ECB_01070/ECB_01077/ECB_01076/ECB_01079/ECB_01078/ECB_01066/ECB_01862/ECB_01067"
"ebr00260","Glycine, serine and threonine metabolism - Escherichia coli B REL606",38,-0.575537626935633,-1.79572279016956,0.0018582995951417,0.0018582995951417,0.101717451523546,761,"tags=50%, list=20%, signal=40%","ECB_00002/ECB_02984/ECB_02989/ECB_02737/ECB_03650/ECB_00875/ECB_03285/ECB_02276/ECB_00911/ECB_02736/ECB_00003/ECB_02735/ECB_00268/ECB_03896/ECB_01234/ECB_03826/ECB_00267/ECB_00004/ECB_02443"
"ebr01250","Biosynthesis of nucleotide sugars - Escherichia coli B REL606",46,0.641401124548843,1.62941873524941,0.00701750775578661,0.00701750775578661,0.19900800574194,427,"tags=30%, list=11%, signal=27%","ECB_02179/ECB_02181/ECB_02814/ECB_01932/ECB_01948/ECB_01946/ECB_01945/ECB_01959/ECB_02817/ECB_01212/ECB_01947/ECB_01955/ECB_01930/ECB_01942"
"ebr00660","C5-Branched dibasic acid metabolism - Escherichia coli B REL606",11,-0.750314586847131,-1.72816757775991,0.0072714463636478,0.0072714463636478,0.19900800574194,114,"tags=27%, list=3%, signal=27%","ECB_00074/ECB_00073/ECB_00075"
"ebr01503","Cationic antimicrobial peptide (CAMP) resistance - Escherichia coli B REL606",35,0.648426823527159,1.5800297091314,0.0160688665710187,0.0160688665710187,0.351823604923356,492,"tags=31%, list=13%, signal=28%","ECB_02179/ECB_02182/ECB_02181/ECB_00592/ECB_02180/ECB_02907/ECB_02183/ECB_01127/ECB_03985/ECB_00160/ECB_02184"
"ebr00290","Valine, leucine and isoleucine biosynthesis - Escherichia coli B REL606",17,-0.631839728583011,-1.6263891360456,0.0207511216239908,0.0207511216239908,0.364128193460193,481,"tags=47%, list=13%, signal=41%","ECB_03424/ECB_02984/ECB_03650/ECB_03649/ECB_02215/ECB_00074/ECB_00073/ECB_00075"
"ebr00541","O-Antigen nucleotide sugar biosynthesis - Escherichia coli B REL606",22,0.694885882577616,1.5635907843469,0.0232831969856758,0.0232831969856758,0.364128193460193,427,"tags=45%, list=11%, signal=41%","ECB_01932/ECB_01948/ECB_01946/ECB_01945/ECB_01959/ECB_01212/ECB_01947/ECB_01955/ECB_01930/ECB_01942"
"ebr00520","Amino sugar and nucleotide sugar metabolism - Escherichia coli B REL606",44,0.596807957146968,1.50618517730111,0.0282074141648698,0.0282074141648698,0.38599619383506,413,"tags=23%, list=11%, signal=20%","ECB_02179/ECB_02182/ECB_02181/ECB_01932/ECB_01948/ECB_02180/ECB_01959/ECB_01212/ECB_01955/ECB_01930"
"ebr00261","Monobactam biosynthesis - Escherichia coli B REL606",8,-0.734864120343695,-1.55787223960331,0.0349189398408409,0.0349189398408409,0.42474499923362,947,"tags=88%, list=25%, signal=66%","ECB_02601/ECB_00002/ECB_02370/ECB_00035/ECB_03285/ECB_03896/ECB_03826"
"ebr03010","Ribosome - Escherichia coli B REL606",55,-0.416878804671607,-1.40780834426547,0.0390681201925737,0.0390681201925737,0.42769310526607,978,"tags=47%, list=26%, signal=36%","ECB_03148/ECB_03158/ECB_03157/ECB_04070/ECB_01686/ECB_03149/ECB_02495/ECB_03090/ECB_03170/ECB_03162/ECB_03167/ECB_03156/ECB_03159/ECB_03155/ECB_03171/ECB_00255/ECB_03169/ECB_03166/ECB_03164/ECB_03860/ECB_03861/ECB_02498/ECB_03152/ECB_03859/ECB_03154/ECB_01685"
"ebr00460","Cyanoamino acid metabolism - Escherichia coli B REL606",7,-0.737224108860997,-1.50797395849881,0.0503275116611419,0.0503275116611419,0.496504042246315,253,"tags=29%, list=7%, signal=27%","ECB_03628/ECB_02443"
"ebr00270","Cysteine and methionine metabolism - Escherichia coli B REL606",33,-0.470987691617054,-1.42393404896754,0.0569360284585934,0.0569360284585934,0.496504042246315,1118,"tags=45%, list=30%, signal=32%","ECB_02744/ECB_02642/ECB_01784/ECB_03708/ECB_02772/ECB_00002/ECB_03825/ECB_03885/ECB_00932/ECB_02881/ECB_03285/ECB_00911/ECB_03896/ECB_03826/ECB_02542"
"ebr00920","Sulfur metabolism - Escherichia coli B REL606",31,-0.478635268675639,-1.42601331715931,0.05895985501675,0.05895985501675,0.496504042246315,959,"tags=35%, list=25%, signal=27%","ECB_02324/ECB_00938/ECB_02601/ECB_03825/ECB_02608/ECB_03885/ECB_02322/ECB_02323/ECB_00318/ECB_00316/ECB_00317"
"ebr00900","Terpenoid backbone biosynthesis - Escherichia coli B REL606",15,-0.588325170134594,-1.46805034449673,0.0670439595899422,0.0670439595899422,0.524253518598044,677,"tags=60%, list=18%, signal=49%","ECB_00369/ECB_02236/ECB_00033/ECB_00368/ECB_02597/ECB_02151/ECB_02596/ECB_02407/ECB_02825"
"ebr00780","Biotin metabolism - Escherichia coli B REL606",16,-0.56425423741906,-1.43120948740481,0.0815350624129245,0.0815350624129245,0.595062911645203,139,"tags=31%, list=4%, signal=30%","ECB_02248/ECB_00743/ECB_00741/ECB_00744/ECB_00745"
"ebr03060","Protein export - Escherichia coli B REL606",18,-0.535899297847137,-1.39978153568401,0.0930866978774332,0.0930866978774332,0.606271088124627,438,"tags=33%, list=12%, signal=30%","ECB_00356/ECB_03151/ECB_00031/ECB_00355/ECB_03040/ECB_00357"
"ebr00362","Benzoate degradation - Escherichia coli B REL606",9,-0.636670144272066,-1.39257640465137,0.113720592492637,0.113720592492637,0.606271088124627,699,"tags=44%, list=18%, signal=36%","ECB_02265/ECB_00306/ECB_00305/ECB_02151"
"ebr00760","Nicotinate and nicotinamide metabolism - Escherichia coli B REL606",22,-0.489274464691852,-1.34321667770807,0.114025409931939,0.114025409931939,0.606271088124627,1156,"tags=50%, list=31%, signal=35%","ECB_02626/ECB_01571/ECB_02468/ECB_00608/ECB_02503/ECB_01482/ECB_01737/ECB_02594/ECB_00632/ECB_02517/ECB_00431"
"ebr04122","Sulfur relay system - Escherichia coli B REL606",19,-0.509572444504536,-1.34883247364732,0.117965633354665,0.117965633354665,0.606271088124627,361,"tags=26%, list=10%, signal=24%","ECB_00371/ECB_00750/ECB_00751/ECB_02422/ECB_00749"
"ebr00561","Glycerolipid metabolism - Escherichia coli B REL606",14,0.657201790955572,1.35921660815,0.123248725478978,0.123248725478978,0.606271088124627,10,"tags=7%, list=0%, signal=7%","ECB_02929"
"ebr00410","beta-Alanine metabolism - Escherichia coli B REL606",13,0.665863241272765,1.35801896770875,0.125773677637675,0.125773677637675,0.606271088124627,445,"tags=31%, list=12%, signal=27%","ECB_01451/ECB_02075/ECB_01279/ECB_03365"
"ebr00543","Exopolysaccharide biosynthesis - Escherichia coli B REL606",10,0.697698024831838,1.35503378156748,0.134876282061026,0.134876282061026,0.606271088124627,289,"tags=30%, list=8%, signal=28%","ECB_03673/ECB_01024/ECB_01023"
"ebr00360","Phenylalanine metabolism - Escherichia coli B REL606",20,-0.484792075157157,-1.29999503388296,0.147200423887524,0.147200423887524,0.606271088124627,915,"tags=50%, list=24%, signal=38%","ECB_02431/ECB_01358/ECB_00302/ECB_00306/ECB_02434/ECB_00305/ECB_00932/ECB_02432/ECB_00768/ECB_02430"
"ebr00621","Dioxin degradation - Escherichia coli B REL606",3,-0.794320344357064,-1.30038039566656,0.153001192227742,0.153001192227742,0.606271088124627,699,"tags=100%, list=18%, signal=82%","ECB_00306/ECB_00305"
"ebr00622","Xylene degradation - Escherichia coli B REL606",3,-0.794320344357064,-1.30038039566656,0.153001192227742,0.153001192227742,0.606271088124627,699,"tags=100%, list=18%, signal=82%","ECB_00306/ECB_00305"
"ebr00440","Phosphonate and phosphinate metabolism - Escherichia coli B REL606",5,-0.710397557627767,-1.32856064799411,0.154624345916148,0.154624345916148,0.606271088124627,924,"tags=60%, list=24%, signal=45%","ECB_03964/ECB_03970/ECB_03971"
"ebr03070","Bacterial secretion system - Escherichia coli B REL606",40,0.512862175360098,1.27607945565736,0.156355770990296,0.156355770990296,0.606271088124627,493,"tags=28%, list=13%, signal=24%","ECB_03175/ECB_03177/ECB_03176/ECB_02838/ECB_02907/ECB_02839/ECB_03179/ECB_03178/ECB_02837/ECB_02831/ECB_00098"
"ebr01230","Biosynthesis of amino acids - Escherichia coli B REL606",118,-0.295249807238645,-1.1372096173242,0.163155994222436,0.163155994222436,0.606271088124627,717,"tags=33%, list=19%, signal=28%","ECB_01236/ECB_02765/ECB_02772/ECB_00002/ECB_03825/ECB_02984/ECB_02756/ECB_00333/ECB_02370/ECB_03077/ECB_00707/ECB_00035/ECB_03078/ECB_02624/ECB_03885/ECB_03650/ECB_03685/ECB_03649/ECB_00932/ECB_00875/ECB_02881/ECB_03285/ECB_02215/ECB_00911/ECB_03238/ECB_00003/ECB_03896/ECB_01234/ECB_00164/ECB_03628/ECB_03826/ECB_02488/ECB_00004/ECB_02443/ECB_00074/ECB_00631/ECB_00073/ECB_00075/ECB_02542"
"ebr00523","Polyketide sugar unit biosynthesis - Escherichia coli B REL606",6,0.754102014302512,1.33858233108581,0.164420908181812,0.164420908181812,0.606271088124627,337,"tags=50%, list=9%, signal=46%","ECB_01946/ECB_01945/ECB_01947"
"ebr02060","Phosphotransferase system (PTS) - Escherichia coli B REL606",38,-0.390019231516457,-1.21689076414955,0.169927125506073,0.169927125506073,0.606271088124627,260,"tags=24%, list=7%, signal=22%","ECB_02096/ECB_03606/ECB_02552/ECB_02553/ECB_04061/ECB_00690/ECB_03566/ECB_02329/ECB_04169"
"ebr02024","Quorum sensing - Escherichia coli B REL606",57,0.473116900077425,1.23856995997314,0.174423308391964,0.174423308391964,0.606271088124627,516,"tags=25%, list=14%, signal=22%","ECB_01451/ECB_01450/ECB_01307/ECB_01217/ECB_01254/ECB_01862/ECB_01218/ECB_02897/ECB_01219/ECB_03918/ECB_03365/ECB_01262/ECB_01220/ECB_01221"
"ebr00525","Acarbose and validamycin biosynthesis - Escherichia coli B REL606",4,0.799961797759964,1.3261384282892,0.177217702682583,0.177217702682583,0.606271088124627,337,"tags=50%, list=9%, signal=46%","ECB_01945/ECB_01947"
