"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"ebr01230","Biosynthesis of amino acids - Escherichia coli B REL606",118,-0.621302540504178,-2.11619327462278,6.66942336165615e-06,6.66942336165615e-06,0.000680983227453312,345,"tags=33%, list=9%, signal=31%","ECB_03826/ECB_01748/ECB_02686/ECB_02314/ECB_00631/ECB_02489/ECB_02370/ECB_02881/ECB_03132/ECB_03648/ECB_02765/ECB_02756/ECB_02624/ECB_01236/ECB_00079/ECB_00035/ECB_00932/ECB_00911/ECB_00333/ECB_03708/ECB_03650/ECB_03238/ECB_03078/ECB_03077/ECB_02488/ECB_02443/ECB_03285/ECB_00002/ECB_02215/ECB_03896/ECB_01234/ECB_03649/ECB_00164/ECB_00003/ECB_00004/ECB_00073/ECB_02542/ECB_00074/ECB_00075"
"ebr03010","Ribosome - Escherichia coli B REL606",55,-0.722072590606333,-2.2107031978977,8.56838592010184e-05,8.56838592010184e-05,0.00291405371362963,644,"tags=65%, list=17%, signal=55%","ECB_03586/ECB_03161/ECB_03145/ECB_03862/ECB_03168/ECB_04070/ECB_00915/ECB_03165/ECB_03091/ECB_04067/ECB_04069/ECB_03148/ECB_03090/ECB_03167/ECB_01685/ECB_03147/ECB_03860/ECB_03170/ECB_03155/ECB_03158/ECB_02495/ECB_03152/ECB_03162/ECB_00255/ECB_03159/ECB_03859/ECB_03861/ECB_03156/ECB_03149/ECB_03157/ECB_03171/ECB_03169/ECB_03164/ECB_03166/ECB_03154/ECB_02498"
"ebr01110","Biosynthesis of secondary metabolites - Escherichia coli B REL606",341,-0.399179332956726,-1.52937759503617,0.000105340777414937,0.000105340777414937,0.00291405371362963,401,"tags=22%, list=11%, signal=22%","ECB_00875/ECB_00033/ECB_04038/ECB_00549/ECB_02597/ECB_03114/ECB_02137/ECB_00632/ECB_03826/ECB_00115/ECB_01748/ECB_02236/ECB_00124/ECB_02686/ECB_00425/ECB_02314/ECB_00811/ECB_02737/ECB_00631/ECB_02489/ECB_00709/ECB_02370/ECB_00645/ECB_02881/ECB_02844/ECB_03132/ECB_02768/ECB_03648/ECB_00132/ECB_02765/ECB_02756/ECB_00373/ECB_02601/ECB_03280/ECB_01944/ECB_02407/ECB_02624/ECB_01236/ECB_00079/ECB_00035/ECB_02336/ECB_00932/ECB_02306/ECB_00911/ECB_00768/ECB_00333/ECB_03708/ECB_03650/ECB_00113/ECB_03238/ECB_03078/ECB_03077/ECB_02488/ECB_01655/ECB_02443/ECB_03285/ECB_00002/ECB_02735/ECB_02215/ECB_00720/ECB_03896/ECB_01234/ECB_02596/ECB_00379/ECB_03649/ECB_00114/ECB_00003/ECB_02736/ECB_00431/ECB_03281/ECB_00004/ECB_02825/ECB_00073/ECB_00074/ECB_00075"
"ebr00260","Glycine, serine and threonine metabolism - Escherichia coli B REL606",38,-0.777083401892082,-2.23592547807618,0.000114158805276212,0.000114158805276212,0.00291405371362963,401,"tags=47%, list=11%, signal=43%","ECB_00875/ECB_02276/ECB_03826/ECB_00115/ECB_02737/ECB_00267/ECB_00268/ECB_00911/ECB_03650/ECB_02443/ECB_03285/ECB_00002/ECB_02735/ECB_03896/ECB_01234/ECB_00003/ECB_02736/ECB_00004"
"ebr00290","Valine, leucine and isoleucine biosynthesis - Escherichia coli B REL606",17,-0.857916385159312,-2.10136986466114,0.000975256578929595,0.000975256578929595,0.0199157659276149,222,"tags=47%, list=6%, signal=44%","ECB_03648/ECB_00079/ECB_03650/ECB_02215/ECB_03649/ECB_00073/ECB_00074/ECB_00075"
"ebr02040","Flagellar assembly - Escherichia coli B REL606",23,0.868276222930457,1.86588025178783,0.00245801025740745,0.00245801025740745,0.0418292973628988,230,"tags=52%, list=6%, signal=49%","ECB_01069/ECB_01076/ECB_01075/ECB_01074/ECB_01072/ECB_01077/ECB_01073/ECB_01071/ECB_01078/ECB_03067/ECB_01070/ECB_01068"
"ebr00660","C5-Branched dibasic acid metabolism - Escherichia coli B REL606",11,-0.871796784578667,-1.93762843934184,0.00297748263340701,0.00297748263340701,0.0434309496902977,164,"tags=36%, list=4%, signal=35%","ECB_00079/ECB_00073/ECB_00074/ECB_00075"
"ebr00261","Monobactam biosynthesis - Escherichia coli B REL606",8,-0.87239035412673,-1.7979896341437,0.00527561211377908,0.00527561211377908,0.0673334703995488,345,"tags=88%, list=9%, signal=80%","ECB_03826/ECB_02370/ECB_02601/ECB_00035/ECB_03285/ECB_00002/ECB_03896"
"ebr00270","Cysteine and methionine metabolism - Escherichia coli B REL606",33,-0.70167125208157,-1.96645071688559,0.00637835495561742,0.00637835495561742,0.0723626234730865,739,"tags=55%, list=20%, signal=44%","ECB_03825/ECB_03885/ECB_02543/ECB_02772/ECB_03465/ECB_01784/ECB_02321/ECB_03826/ECB_02314/ECB_02881/ECB_03648/ECB_00932/ECB_00911/ECB_03708/ECB_03285/ECB_00002/ECB_03896/ECB_02542"
"ebr01210","2-Oxocarboxylic acid metabolism - Escherichia coli B REL606",27,-0.719280837717879,-1.93847116006466,0.00799221947463046,0.00799221947463046,0.0816047672672794,222,"tags=37%, list=6%, signal=35%","ECB_03648/ECB_00079/ECB_00932/ECB_03285/ECB_02215/ECB_03896/ECB_03649/ECB_00073/ECB_00074/ECB_00075"
