Locustag	Gene	FeatureType	Description
ECB_00001	thrL	CDS	thr operon leader peptide
ECB_00002	thrA	CDS	bifunctional aspartokinase I/homeserine dehydrogenase I
ECB_00003	thrB	CDS	homoserine kinase
ECB_00004	thrC	CDS	threonine synthase
ECB_00005	yaaX	CDS	hypothetical protein
ECB_00006	yaaA	CDS	hypothetical protein
ECB_00007	yaaJ	CDS	predicted transporter
ECB_00008	talB	CDS	transaldolase B
ECB_00009	mogA	CDS	molybdenum cofactor biosynthesis protein
ECB_00010	yaaH	CDS	conserved inner membrane protein associated with acetate transport
ECB_00011	yaaW	CDS	hypothetical protein
ECB_00012	htgA	CDS	hypothetical protein
ECB_00013	yaaI	CDS	hypothetical protein
ECB_00014	dnaK	CDS	molecular chaperone DnaK
ECB_00015	dnaJ	CDS	chaperone Hsp40, co-chaperone with DnaK
ECB_00016	insL-1	CDS	IS186 hypothetical protein
ECB_00017	mokC	CDS	regulatory protein for HokC, overlaps CDS of hokC
ECB_04280	hokC	CDS	small toxic membrane polypeptide
ECB_00018	nhaA	CDS	pH-dependent sodium/proton antiporter
ECB_00019	nhaR	CDS	DNA-binding transcriptional activator
ECB_00020		CDS	hypothetical protein
ECB_00021		CDS	putative usher protein
ECB_00022		CDS	conserved hypothetical protein
ECB_00023	insA-1	CDS	IS1 protein InsA
ECB_00024	insB-1	CDS	IS1 protein InsB
ECB_00025		CDS	conserved hypothetical protein
ECB_00026		CDS	hypothetical protein
ECB_00027	rpsT	CDS	30S ribosomal protein S20
ECB_00028	yaaY	CDS	hypothetical protein
ECB_00029	ribF	CDS	putative regulator
ECB_00030	ileS	CDS	isoleucyl-tRNA synthetase
ECB_00031	lspA	CDS	signal peptidase II
ECB_00032	fkpB	CDS	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)
ECB_00033	ispH	CDS	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
ECB_00034	rihC	CDS	ribonucleoside hydrolase 3
ECB_00035	dapB	CDS	dihydrodipicolinate reductase
ECB_00036	carA	CDS	carbamoyl-phosphate synthase small subunit
ECB_00037	carB	CDS	carbamoyl-phosphate synthase large subunit
ECB_00038	caiF	CDS	DNA-binding transcriptional activator
ECB_00039	caiE	CDS	predicted acyl transferase
ECB_00040	caiD	CDS	carnitinyl-CoA dehydratase
ECB_00041	caiC	CDS	crotonobetaine/carnitine-CoA ligase
ECB_00043	caiA	CDS	crotonobetaine reductase subunit II, FAD-binding
ECB_00044	caiT	CDS	L-carnitine/gamma-butyrobetaine antiporter
ECB_00045	fixA	CDS	predicted electron transfer flavoprotein subunit, ETFP adenine nucleotide-binding domain protein
ECB_00046	fixB	CDS	predicted electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein
ECB_00047	fixC	CDS	predicted oxidoreductase with FAD/NAD(P)-binding domain
ECB_00048	fixX	CDS	predicted 4Fe-4S ferredoxin-type protein
ECB_00049	yaaU	CDS	predicted transporter
ECB_00050	yabF	CDS	glutathione-regulated potassium-efflux system ancillary protein
ECB_00051	kefC	CDS	glutathione-regulated potassium-efflux system protein
ECB_00052	folA	CDS	dihydrofolate reductase
ECB_00053	apaH	CDS	diadenosinetetraphosphatase
ECB_00054	apaG	CDS	hypothetical protein
