Locustag	28_1	28_2	29_1	29_2	36_1	36_2	46_1	46_2	47_1	47_2	49_1	49_2
ECB_00001	48	203	45	86	58	62	42	84	54	48	68	63
ECB_00002	4369	4112	5275	5006	3634	2332	5954	4590	7347	4659	7445	8292
ECB_00003	1943	1652	2642	2551	2282	1285	3604	2809	4083	2986	3719	4318
ECB_00004	3194	2878	5595	4907	3872	2626	7315	5350	8253	5603	6123	7006
ECB_00005	242	415	426	475	296	368	573	490	709	836	435	491
ECB_00006	159	128	99	171	141	113	147	149	215	159	260	316
ECB_00007	38	77	65	62	35	45	36	40	66	74	80	110
ECB_00008	4257	3019	6047	5514	2930	2063	4061	3255	4739	3628	5292	7327
ECB_00009	208	148	267	262	194	96	217	170	198	177	315	412
ECB_00010	110	117	103	127	123	66	103	137	141	140	166	209
ECB_00011	29	17	25	21	17	40	20	16	29	35	19	30
ECB_00012	10	4	10	14	7	11	8	3	4	6	5	10
ECB_00013	2	7	1	7	1	2	1	0	5	3	1	6
ECB_00014	3724	3876	3498	4142	1803	1199	3498	2212	3638	2432	4235	4612
ECB_00015	254	369	435	518	358	274	630	463	578	398	829	984
ECB_00016	29	35	31	54	32	37	49	48	35	85	50	60
ECB_00017	2	5	3	1	8	1	2	6	12	9	18	10
ECB_04280	0	0	0	0	0	0	0	0	0	0	0	0
ECB_00018	739	578	680	597	436	386	669	511	820	552	1303	1558
ECB_00019	44	25	55	45	43	45	74	46	77	63	177	261
ECB_00020	12	16	15	21	7	13	7	8	13	32	2	12
ECB_00021	4	12	3	5	7	10	2	3	6	6	3	11
ECB_00022	3	9	11	4	3	6	3	0	5	5	1	3
ECB_00023	0	0	0	1	0	0	0	0	0	0	0	0
ECB_00024	0	0	0	1	0	0	1	3	0	0	0	1
ECB_00025	6	20	10	212	9	27	8	7	23	229	4	6
ECB_00026	1	3	1	5	3	2	3	1	5	3	0	2
ECB_00027	322	781	231	602	674	707	767	829	1043	717	1463	1611
ECB_00028	34	31	41	34	17	16	11	12	21	18	26	25
ECB_00029	894	910	999	1171	546	478	593	615	849	606	1231	1593
ECB_00030	4853	5098	6197	8155	5499	2767	6513	5859	7615	5511	8314	9277
ECB_00031	674	682	1045	1162	831	300	1014	810	1044	788	935	1134
ECB_00032	150	151	180	228	169	171	192	171	275	201	395	496
ECB_00033	389	522	586	713	497	272	517	556	661	470	660	817
ECB_00034	209	58	207	83	86	65	132	118	110	86	189	230
ECB_00035	659	697	640	1062	601	408	758	710	1000	683	926	1165
ECB_00036	1769	2654	2232	2731	3755	1957	5120	3968	6294	3918	8721	9147
ECB_00037	6742	7368	10423	11127	18070	7305	25575	19964	27600	18172	30441	31955
ECB_00038	6	8	14	8	36	14	22	31	38	32	90	124
ECB_00039	9	24	22	34	22	33	10	23	24	22	57	66
ECB_00040	5	11	8	8	5	36	10	13	9	14	30	33
ECB_00041	37	76	35	54	35	56	18	35	61	122	33	49
ECB_00043	21	32	29	41	38	20	28	31	52	35	40	45
ECB_00044	10	15	11	9	16	17	4	11	16	30	14	6
ECB_00045	7	7	4	7	5	5	3	6	3	10	31	31
ECB_00046	11	2	9	13	14	12	7	1	9	3	24	16
ECB_00047	8	24	13	17	12	15	1	10	18	24	43	34
ECB_00048	4	7	8	8	2	9	2	3	4	7	8	2
ECB_00049	14	33	17	25	18	33	9	13	37	30	24	23
ECB_00050	14	14	17	10	4	14	4	5	14	8	15	24
ECB_00051	134	192	188	189	96	91	141	169	166	145	179	191
ECB_00052	295	202	176	261	310	186	302	280	372	239	512	635
ECB_00053	239	344	357	371	242	286	437	252	383	334	394	428
ECB_00054	106	127	113	175	137	103	108	110	162	132	246	309
ECB_00055	620	570	790	957	799	434	759	646	1017	712	1053	1268
ECB_00056	358	31463	663	1213	807	569	789	783	1027	708	1017	1223
ECB_00057	1800	2005	2293	3103	2357	1276	2458	2226	3019	2136	3462	3772
ECB_00058	2530	2690	2242	3201	2639	2017	2294	2535	3134	2567	4578	5268
