Locustag,28_1,28_2,29_1,29_2,36_1,36_2,46_1,46_2,47_1,47_2,49_1,49_2
ECB_00001,1.3685503146097592e-05,7.01078936307842e-05,1.2287675788855132e-05,2.1866776915904698e-05,1.4435387206862085e-05,2.68107064664397e-05,8.552652880197493e-06,2.0130980788573657e-05,9.635262491314881e-06,1.1741786375809572e-05,1.0452483394769855e-05,8.360088935422294e-06
ECB_00002,0.001245665900943758,0.0014201165448757863,0.0014403886619157962,0.001272849828383941,0.0009044516743058072,0.0010084285077376996,0.0012124403630641874,0.001100014307375632,0.0013109309911794524,0.0011396871401020165,0.0011443932187361994,0.00110034694369082
ECB_00003,0.0005539777627680755,0.0005705332033401749,0.0007214230985367836,0.0006486296268892196,0.0005679578207941255,0.0005556735130544357,0.0007338990709578992,0.0006731895837512309,0.0007285329028155307,0.0007304369607951537,0.0005716586138992513,0.0005729978416373566
ECB_00004,0.000910656188513244,0.0009939434377802805,0.0015277676897476548,0.0012476776084458646,0.0009636865390512068,0.0011355631480785588,0.0014895870433010634,0.001282151752605584,0.001472589284089291,0.0013706089388262714,0.0009411846445025855,0.0009296949695487078
ECB_00005,6.899774502824202e-05,0.0001433240189988938,0.00011632333080116193,0.00012077580273319455,7.367025195226167e-05,0.00015913451580080337,0.00011668262143698009,0.00011743072126667966,0.00012650742789522686,0.00020450277937868338,6.686515112830715e-05,6.515561376654518e-05
ECB_00006,4.533322917144828e-05,4.42059624864058e-05,2.703288673548129e-05,4.347928898395004e-05,3.509292407185438e-05,4.886467468883364e-05,2.9934285080691226e-05,3.570852544639851e-05,3.8362619178383326e-05,3.88946673698692e-05,3.996537768588474e-05,4.1933144501483255e-05
ECB_00007,1.0834356657327261e-05,2.659264930822849e-05,1.7748865028346303e-05,1.5764420567280132e-05,8.711009521382292e-06,1.9459383725641717e-05,7.330845325883566e-06,9.586181327892217e-06,1.1776431933829299e-05,1.8101920662706423e-05,1.2297039287964533e-05,1.4596980680896069e-05
ECB_00008,0.0012137330602695303,0.001042639068331712,0.0016511905665601552,0.0014020163710964943,0.0007292359399328606,0.000892104636133308,0.0008269600796781433,0.0007800755055572292,0.0008455834990063189,0.0008874833535716068,0.0008134491488988539,0.0009722916131720499
ECB_00009,5.9303846966422904e-05,5.111314412490671e-05,7.290687634720712e-05,6.661739013915152e-05,4.828388134709042e-05,4.1513351948035664e-05,4.418870654768705e-05,4.074127064354192e-05,3.53292958014879e-05,4.32978372607978e-05,4.8419592196360355e-05,5.4672327641174365e-05
ECB_00010,3.136261137647365e-05,4.0407012585230304e-05,2.8125124583379524e-05,3.2291635678138335e-05,3.061297631800063e-05,2.8540429464274518e-05,2.0974363015722425e-05,3.283267104803084e-05,2.515874094954441e-05,3.4246876929444584e-05,2.5516356522526407e-05,2.773426329370253e-05
ECB_00011,8.268324817433963e-06,5.871104392725771e-06,6.8264865493639624e-06,5.339561805046496e-06,4.2310617675285426e-06,1.729722997834819e-05,4.072691847713092e-06,3.8344725311568865e-06,5.174492819409844e-06,8.561719232361146e-06,2.920546830891577e-06,3.980994731153473e-06
ECB_00012,2.8511464887703318e-06,1.3814363277001813e-06,2.730594619745585e-06,3.5597078700309975e-06,1.7422019042764586e-06,4.756738244045753e-06,1.6290767390852367e-06,7.189635995919163e-07,7.137231475048061e-07,1.4677232969761965e-06,7.685649554977833e-07,1.3269982437178245e-06
ECB_00013,5.702292977540664e-07,2.4175135734753173e-06,2.730594619745585e-07,1.7798539350154988e-06,2.4888598632520835e-07,8.648614989174096e-07,2.036345923856546e-07,0.0,8.921539343810076e-07,7.338616484880983e-07,1.5371299109955667e-07,7.961989462306947e-07
ECB_00014,0.0010617669524180715,0.0013386118015414757,0.0009551619979870057,0.0010531649998334566,0.0004487414333443507,0.000518484468600987,0.0007123138041650197,0.0005301158274324396,0.0006491312026556211,0.0005949171763743517,0.0006509745173066225,0.0006120115900026606
ECB_00015,7.241912081476643e-05,0.00012743750123034173,0.00011878086595893295,0.0001317091911911469,8.91011831044246e-05,0.00011848602535168512,0.0001282897932029624,0.00011096004887035241,0.00010313299481444447,9.735897869942104e-05,0.00012742806962153248,0.00013057662718183392
ECB_00016,8.268324817433963e-06,1.2087567867376587e-05,8.464843321211314e-06,1.3730301784405275e-05,7.964351562406667e-06,1.599993772997208e-05,9.978095026897075e-06,1.150341759347066e-05,6.245077540667053e-06,2.0792746707162784e-05,7.685649554977834e-06,7.961989462306946e-06
ECB_00017,5.702292977540664e-07,1.7267954096252267e-06,8.191783859236755e-07,2.5426484785935697e-07,1.9910878906016668e-06,4.324307494587048e-07,4.072691847713092e-07,1.4379271991838325e-06,2.141169442514418e-06,2.201584945464295e-06,2.7668338397920202e-06,1.3269982437178245e-06
ECB_04280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECB_00018,0.00021069972552012752,0.0001996175493526762,0.0001856804341426998,0.0001517961141720361,0.00010851429003779085,0.00016691826929106005,0.00013623154230600292,0.00012246346646382306,0.00014631324523848525,0.00013503054332181008,0.00020028802740272236,0.00020674632637123706
ECB_00019,1.254504455058946e-05,8.633977048126133e-06,1.5018270408600718e-05,1.1441918153671062e-05,1.070209741198396e-05,1.9459383725641717e-05,1.506895983653844e-05,1.102410852707605e-05,1.3739170589467516e-05,1.5411094618250062e-05,2.7207199424621533e-05,3.463465416103522e-05
ECB_00020,3.421375786524398e-06,5.525745310800725e-06,4.095891929618378e-06,5.339561805046496e-06,1.7422019042764586e-06,5.621599742963163e-06,1.4254421466995822e-06,1.9172362655784432e-06,2.3196002293906195e-06,7.827857583873047e-06,3.0742598219911334e-07,1.5923978924613894e-06
ECB_00021,1.1404585955081327e-06,4.144308983100544e-06,8.191783859236755e-07,1.2713242392967848e-06,1.7422019042764586e-06,4.324307494587048e-06,4.072691847713092e-07,7.189635995919163e-07,1.070584721257209e-06,1.4677232969761965e-06,4.6113897329867e-07,1.459698068089607e-06
ECB_00022,8.553439466310995e-07,3.108231737325408e-06,3.0036540817201435e-06,1.0170593914374279e-06,7.466579589756251e-07,2.594584496752229e-06,6.109037771569638e-07,0.0,8.921539343810076e-07,1.2231027474801638e-06,1.5371299109955667e-07,3.9809947311534735e-07
ECB_00023,0.0,0.0,0.0,2.5426484785935697e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECB_00024,0.0,0.0,0.0,2.5426484785935697e-07,0.0,0.0,2.036345923856546e-07,7.189635995919163e-07,0.0,0.0,0.0,1.3269982437178244e-07
ECB_00025,1.710687893262199e-06,6.907181638500907e-06,2.730594619745585e-06,5.390414774618367e-05,2.2399738769268754e-06,1.167563023538503e-05,1.6290767390852367e-06,1.677581732381138e-06,4.103908098152635e-06,5.6018105834591495e-05,6.148519643982267e-07,7.961989462306947e-07
ECB_00026,2.851146488770332e-07,1.036077245775136e-06,2.730594619745585e-07,1.2713242392967848e-06,7.466579589756251e-07,8.648614989174096e-07,6.109037771569638e-07,2.396545331973054e-07,8.921539343810076e-07,7.338616484880983e-07,0.0,2.653996487435649e-07
ECB_00027,9.180691693840469e-05,0.0002697254429834604,6.307673571612301e-05,0.0001530674384113329,0.00016774915478319044,0.0003057285398673043,0.00015618773235979706,0.0001986736080205662,0.00018610331071187817,0.00017539293398865548,0.00022488210597865142,0.00021377941706294152
ECB_00028,9.693898061819128e-06,1.0706131539676406e-05,1.11954379409569e-05,8.645004827218136e-06,4.2310617675285426e-06,6.918891991339277e-06,2.2399805162422004e-06,2.875854398367665e-06,3.7470465244002316e-06,4.40316989092859e-06,3.996537768588474e-06,3.3174956092945613e-06
